	A549 cells, DMSO, 24h, rep1	A549 cells, DMSO, 24h, rep2	A549 cells, DMSO, 24h, rep3	A549 cells, RSL3, 24h, rep1	A549 cells, RSL3, 24h, rep2	A549 cells, RSL3, 24h, rep3	A549 cells, RSL3 and Fer-1, 24h, rep1	A549 cells, RSL3 and Fer-1, 24h, rep2	A549 cells, RSL3 and Fer-1, 24h, rep3
TIMM22	-1.0189746096176289	0.4462482153965222	0.979281622559601	0.9457392626028661	0.5717849570724374	-1.9274003973620784	0.9954660038302151	-1.116959713624271	0.5606848330419686
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
TIMM22	-1.0189746096176289	0.4462482153965222	0.979281622559601	0.9457392626028661	0.5717849570724374	-1.9274003973620784	0.9954660038302151	-1.116959713624271	0.5606848330419686
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
TIMM22	0.7084217039479508	0.44952814849991857	-1.510267634714606	-1.2766320341283464	0.4423539652429957	0.6280328539011725	-1.332763339215509	0.6752706727148721	0.38952298538515145
SCARNA2	-1.9242352471785058	-1.920721856025539	0.5262447270942392	-1.922319508718258	0.06629143006563894	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-1.5291606994229883
ISY1-RAB43	-1.9242352471785058	-0.031522329716921114	0.17578901176643594	-1.922319508718258	-0.5287388128941347	-0.42578635580145485	-0.0663792178056974	-1.9032999944538531	-1.9159710899475262
ENSG00000274828	-0.0893490549708126	0.06588889530679395	0.0250915528992033	-1.922319508718258	-1.9241779197814324	-0.09848792953610812	-0.27409289667134584	-1.9032999944538531	-0.2756048203838518
ENSG00000285982	0.05042374443941815	-0.1887301006418367	0.604411103908422	-1.922319508718258	-1.675951743704443	0.061258798451636176	0.5915074547401268	0.005295256523009685	-0.2941671146928148
GREM1	0.3083430973983334	0.5079729300271125	-0.11678928041183066	-0.04850421676092081	-0.1262663492622631	-0.1099677063101732	-0.1715001627103638	-0.09920572173447299	-0.2630218633412314
GREM1	0.04106201806509237	0.20237549078551384	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-1.9159710899475262
GREM1	0.3083430973983334	0.5079729300271125	-0.11678928041183066	-0.04850421676092081	-0.1262663492622631	-0.1099677063101732	-0.1715001627103638	-0.09920572173447299	-0.2630218633412314
ENSG00000256349	0.38626714327922007	-1.920721856025539	-0.1795341886034093	-0.03611943482806732	-0.4738872008638511	-0.47787801810975605	-1.9158285376992241	-1.9032999944538531	-0.41617839507417076
PPP1R18	1.1460840431345525	1.1166167070692692	1.1597754551248731	1.263083346593567	1.2275685233602098	1.2138202361927928	1.095313288833569	1.1263414662254674	1.0785110530191944
PPP1R18	-0.22542709462279115	-0.40575104779269494	-1.3212804240441396	-1.2766320341283464	0.17669592717694932	0.051168867576190886	-0.28882511586231335	-0.018783502225872908	0.047248644593411035
PPP1R18	-0.22542709462279115	-0.40575104779269494	-1.3212804240441396	-1.2766320341283464	0.17669592717694932	0.051168867576190886	-0.28882511586231335	-0.018783502225872908	0.047248644593411035
PPP1R18	-1.9242352471785058	-0.47741773269742227	-0.1795341886034093	-0.12893309590235408	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-0.16823937220075502
PPP1R18	-1.9242352471785058	-0.47741773269742227	-0.1795341886034093	-0.12893309590235408	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-0.16823937220075502
PPP1R18	-0.0013850989167807674	0.0989595180992386	-0.6936596603106833	0.3323424030623549	0.3734855164580532	0.3907606339460733	0.3207978126908295	0.13285289257174868	0.127236346785122
PPP1R18	1.1460840431345525	1.1166167070692692	1.1597754551248731	1.263083346593567	1.2275685233602098	1.2138202361927928	1.095313288833569	1.1263414662254674	1.0785110530191944
PPP1R18	-0.22542709462279115	-0.40575104779269494	-1.3212804240441396	-1.2766320341283464	0.17669592717694932	0.051168867576190886	-0.28882511586231335	-0.018783502225872908	0.047248644593411035
PPP1R18	-0.22542709462279115	-0.40575104779269494	-1.3212804240441396	-1.2766320341283464	0.17669592717694932	0.051168867576190886	-0.28882511586231335	-0.018783502225872908	0.047248644593411035
PPP1R18	-1.9242352471785058	-0.47741773269742227	-0.1795341886034093	-0.12893309590235408	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-0.16823937220075502
PPP1R18	-1.9242352471785058	-0.47741773269742227	-0.1795341886034093	-0.12893309590235408	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-0.16823937220075502
PPP1R18	-0.0013850989167807674	0.0989595180992386	-0.6936596603106833	0.3323424030623549	0.3734855164580532	0.3907606339460733	0.3207978126908295	0.13285289257174868	0.127236346785122
GALNT4	0.005782596868950929	0.16786352176356686	-1.9214176870622146	-0.35004554086106543	0.17166032426343464	-1.9274003973620784	0.38159974551054915	-0.23617975530250332	0.047248644593411035
LRRC37A4P	0.8153997483928402	0.8475156386234919	0.9188196153262183	0.7199408667036292	0.9060610751708528	0.9472809951832153	0.8968024116830984	0.8076606927999505	0.9071918294360406
LRRC37A4P	-0.010758866843253756	-0.021715364808254135	-0.3281456591802582	-0.04850421676092081	-1.675951743704443	-1.9274003973620784	-0.49272317799594645	0.20140909433242318	-1.9159710899475262
DDR1-DT	0.38996894074313204	-0.36470450268729426	-1.0893142480739475	0.17867944865646812	-0.699011742296721	-1.9274003973620784	-0.3237086646561186	-0.4282543973624377	-0.4784350609817887
DDR1-DT	-1.9242352471785058	-1.920721856025539	-1.7818203805211998	-0.41099060391662173	-1.2928156078933766	-1.9274003973620784	-0.9436431625937781	-1.030830559080328	-1.115267723413317
DDR1-DT	-1.9242352471785058	0.09218205020462832	-0.6331770953620516	-0.8202045975721343	-0.2879033698962114	0.43650849426415017	-1.9158285376992241	-1.543143855521694	0.0062876414123596664
DDR1-DT	-0.8275928379147872	-1.920721856025539	-0.26208771991652996	-1.2766320341283464	-0.4295624844109937	-1.9274003973620784	-0.4238016574808375	-0.25159131866809203	-0.7212958164719099
DDR1-DT	-0.8275928379147872	-1.920721856025539	-0.26208771991652996	-1.2766320341283464	-0.4295624844109937	-1.9274003973620784	-0.4238016574808375	-0.25159131866809203	-0.7212958164719099
DDR1-DT	-0.8275928379147872	-1.920721856025539	-0.26208771991652996	-1.2766320341283464	-0.4295624844109937	-1.9274003973620784	-0.4238016574808375	-0.25159131866809203	-0.7212958164719099
FKBPL	0.14909997684422302	0.17222368508183672	-1.9214176870622146	0.011493770481598324	-0.004144794228990836	0.051168867576190886	0.1284037175240725	-1.9032999944538531	0.1208518509533466
FKBPL	-1.3079181526423669	-1.2614503464503322	0.23246568627861727	-1.406953312686963	-1.3903277863507726	-1.2528400791407568	-1.332763339215509	0.174857543233826	-1.5291606994229883
LRIG2-DT	-0.15830556916808533	-0.05985173573232253	-0.3281456591802582	-0.008043472444503517	-0.06372110398176957	-0.05741109148961069	-0.4439830925687773	-1.9032999944538531	-1.9159710899475262
LRIG2-DT	-0.22542709462279115	-1.641423844620832	-0.46774296572127283	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-0.27409289667134584	-0.05906665978385698	0.014361438460572064
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
MICB	-1.3079181526423669	-1.2614503464503322	-0.8861356680917484	-1.173979152512223	-1.9241779197814324	-0.7557123334218355	-0.665455274796287	-1.9032999944538531	-0.9582006428222672
MICB	-1.9242352471785058	-0.05175143390710588	-0.24475557237057718	-1.922319508718258	-0.5905792990480638	-0.864292292487637	-1.9158285376992241	-1.9032999944538531	0.03205001410973153
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
MICB	0.16253471022578572	-1.920721856025539	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-1.1551952412296431	-1.9158285376992241	-1.9032999944538531	-0.12233489915270013
MICB	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.19514952598681481	-0.5287388128941347	-1.9274003973620784	-0.8341347591642122	-0.364834804699516	-1.9159710899475262
MICB	1.0466271167893808	1.0573043238348496	1.0221524261122101	1.0856778383135273	1.0830043666026745	1.0820938463586243	1.0878534648490639	1.0782221617666858	1.0073299085053122
ENSG00000278774	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	0.6667661464109252
ENSG00000282330	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.1523660452660561	-0.2714295437136276	-1.9274003973620784	-1.9158285376992241	-0.2228824046672469	-1.9159710899475262
ENSG00000285151	-0.19838379522222765	-0.17374655765249142	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-0.3993476728607237	-1.9158285376992241	-1.9032999944538531	-0.45678155188519404
ENSG00000285204	-0.19838379522222765	-0.17374655765249142	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-0.3993476728607237	-1.9158285376992241	-1.9032999944538531	-0.45678155188519404
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
MICB	-1.3079181526423669	-1.2614503464503322	-0.8861356680917484	-1.173979152512223	-1.9241779197814324	-0.7557123334218355	-0.665455274796287	-1.9032999944538531	-0.9582006428222672
MICB	-1.9242352471785058	-0.05175143390710588	-0.24475557237057718	-1.922319508718258	-0.5905792990480638	-0.864292292487637	-1.9158285376992241	-1.9032999944538531	0.03205001410973153
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
